Comment,Designator,Footprint,LCSC
100nF,"C1,C10,C2,C26,C7,C8,C9",C_0402_1005Metric,C100072
100R,R24,R_0402_1005Metric,C106232
CJ3134KW,"Q1,Q3",SC-70-3_L2.1-W1.3-P1.30-LS2.1-BR,C110101
SMNR3010-4R7MT,L2,IND-SMD_L3.0-W3.0_SMNR3010,C135229
AO3401A,"Q2,Q4",SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,C15127
10K,"R1,R11,R13,R14,R16,R19,R23,R9",R_0402_1005Metric,C191123
5K11,"R17,R18",R_0402_1005Metric,C2684528
75K,"R15,R3",R_0402_1005Metric,C2689478
250mA,F1,Fuse_1206_3216Metric,C269112
2A,F2,Fuse_1206_3216Metric,C2982271
24K,R4,R_0402_1005Metric,C2984415
USB_C_Receptacle_USB2.0,J3,USB_C_Receptacle_Palconn_UTC16-G_Streached_pads,C2988369
18pF,"C3,C4,C5,C6",C_0402_1005Metric,C33149
0R,"R12,R8",R_0402_1005Metric,C396825
TAXM8M4RFDCET2T,Y2,OSC-SMD_4P-L3.2-W2.5-BL,C403948
1K5,"R10,R2,R20,R21,R22,R25,R5,R6,R7",R_0402_1005Metric,C413084
TS-1077S-01726,"SW1,SW2",KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,C455260
39nH,L1,L_0603_1608Metric,C578032
220uF,C18,CP_Elec_6.3x7.7,C696188
SP0502BAHT,"D4,D5,D6,D7",SOT-23,C70435
CBW321609U600,FB1,C_1206_3216Metric,C73732
STM32F103C8T6,U1,LQFP-48_7x7mm_P0.5mm,C8734
EUP3458,U2,SOT-23-6,C89300
B5819W,"D1,D2,D3",D_SOD-123,C917036
10uF,"C11,C13,C14,C16,C17,C23,C24,C25",C_0603_1608Metric,C92487
HNB09A03,BUZZER1,BUZ-TH_BD9.0-P5.00-D0.6-FD,C96102
XL-2012RGBC,LED1,LED-SMD_4P-L2.0-W1.3-BR,C965848
10nF,C22,C_0402_1005Metric,
Conn_01x04_Male,J1,PinHeader_1x04_P2.54mm_Vertical,
MountingHole_Pad,H1,MountingHole_3mm_Pad_Via,
SATA_Power_Connector,J2,Sata_Power_Connector_SMD,
Fan_4pin,PUMP1,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
Logo_Open_Hardware_Small,LOGO1,OSHW-Logo2_9.8x8mm_SilkScreen,
10nF,C15,C_0402_1005Metric,
MountingHole_Pad,H2,MountingHole_3mm_Pad_Via,
Conn_01x06_Male,J4,HDR-TH_6P-P2.54-H-M-R2-C3-S2.54,
Fan_4pin,FAN6,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
YST310S 32.768KHz,Y1,Crystal_SMD_3215-2Pin_3.2x1.5mm,
Fan_4pin,FAN2,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
Fan_4pin,FAN4,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
MountingHole_Pad,H3,MountingHole_3mm_Pad_Via,
USBLC6-2SC6,U3,SOT-23-6,
TC2030-IDC-NL_SWD,SWD1,Tag-Connect_TC2030-IDC-NL_2x03_P1.27mm_Vertical,
10nF,C12,C_0402_1005Metric,
10nF,C19,C_0402_1005Metric,
MountingHole_Pad,H4,MountingHole_3mm_Pad_Via,
10nF,C20,C_0402_1005Metric,
Fan_4pin,FAN3,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
10nF,C21,C_0402_1005Metric,
Fan_4pin,FAN5,FanPinHeader_1x04_P2.54mm_Horizontal_no_hole,
