Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_0402_1005Metric,-16.13,-12.87,90.0,top
C2,100nF,C_0402_1005Metric,-15.96,-19.43,-90.0,top
C3,18pF,C_0402_1005Metric,-4.09,-3.66,-90.0,top
C4,18pF,C_0402_1005Metric,-3.93,-7.45,-90.0,top
C5,18pF,C_0402_1005Metric,-9.01,-6.7,90.0,top
C6,18pF,C_0402_1005Metric,-8.83,-2.83,-90.0,top
C7,100nF,C_0402_1005Metric,-23.075,-7.775,180.0,top
C8,100nF,C_0402_1005Metric,-20.77,2.32,90.0,top
C9,100nF,C_0402_1005Metric,-11.403171,-7.441327,0.0,top
C10,100nF,C_0402_1005Metric,-13.375,-9.075,0.0,top
C11,10uF,C_0603_1608Metric,-22.85,1.525,90.0,top
C12,10nF,C_0402_1005Metric,-11.433172,-2.441328,0.0,top
C13,10uF,C_0603_1608Metric,-10.923172,-1.181328,0.0,top
C14,10uF,C_0603_1608Metric,18.260001,0.28,90.0,top
C15,10nF,C_0402_1005Metric,16.260001,-3.2,-90.0,top
C16,10uF,C_0603_1608Metric,16.730001,-6.19,0.0,top
C17,10uF,C_0603_1608Metric,16.740001,-7.74,0.0,top
C18,220uF,CP_Elec_6.3x7.7,7.2,-0.1,-90.0,top
C19,10nF,C_0402_1005Metric,-10.41,2.4575,180.0,top
C20,10nF,C_0402_1005Metric,-14.54,2.4675,0.0,top
C21,10nF,C_0402_1005Metric,-6.025,2.6,0.0,top
C22,10nF,C_0402_1005Metric,4.95,-5.1,0.0,top
C23,10uF,C_0603_1608Metric,-18.51,6.12,180.0,top
C24,10uF,C_0603_1608Metric,-18.3,10.1,180.0,top
C25,10uF,C_0603_1608Metric,-21.6,10.11,180.0,top
D1,B5819W,D_SOD-123,15.030001,-0.07,180.0,top
D2,B230A,D_SMA,-2.275,4.125,-90.0,top
D3,B230A,D_SMA,17.45,7.16,0.0,top
D4,SP0502BAHT,SOT-23,-15.08,6.2075,90.0,top
D5,SP0502BAHT,SOT-23,-10.62,6.2175,90.0,top
D6,SP0502BAHT,SOT-23,-6.28,6.2175,90.0,top
D7,SP0502BAHT,SOT-23,8.375,-7.125,0.0,top
D8,B5819W,D_SOD-123,-26.525,3.15,0.0,top
F1,250mA,Fuse_1206_3216Metric,22.670001,1.04,90.0,top
F2,2A,Fuse_1206_3216Metric,22.68,6.0,90.0,top
FB1,CBW321609U600,C_1206_3216Metric,20.290001,1.08,90.0,top
FID1,Fiducial,Fiducial_0.5mm_Mask1mm,0.0,-0.0,-90.0,top
FID2,Fiducial,Fiducial_0.5mm_Mask1mm,30.0,-0.0,0.0,top
FID3,Fiducial,Fiducial_0.5mm_Mask1mm,-28.0,18.0,0.0,top
J3,USB_C_Receptacle_USB2.0,USB_C_Receptacle_Palconn_UTC16-G_Streached_pads,-33.86745,0.009383,-90.0,top
L1,39nH,L_0603_1608Metric,-10.923172,0.338672,180.0,top
L2,SMNR3010-4R7MT,IND-SMD_L3.0-W3.0_SMNR3010,14.100001,-3.38,90.0,top
LED1,XL-2012RGBC,LED-SMD_4P-L2.0-W1.3-BR,-35.078126,-8.51,180.0,top
Q1,CJ3134KW,SC-70-3_L2.1-W1.3-P1.30-LS2.1-BR,1.925,0.375,-90.0,top
Q2,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,1.75,5.59,-90.0,top
Q3,CJ3134KW,SC-70-3_L2.1-W1.3-P1.30-LS2.1-BR,7.19,6.99,180.0,top
Q4,AO3401A,SOT-23_L2.9-W1.3-P1.90-LS2.4-BR,11.51,5.8,180.0,top
Q5,CJ3134KW,SC-70-3_L2.1-W1.3-P1.30-LS2.1-BR,-23.8,5.37,0.0,top
R1,10K,R_0402_1005Metric,-13.15,-16.825,0.0,top
R2,1K5,R_0402_1005Metric,20.750001,-2.22,-90.0,top
R3,75K,R_0402_1005Metric,20.860001,-5.54,-90.0,top
R4,24K,R_0402_1005Metric,19.410001,-5.98,180.0,top
R5,1K5,R_0402_1005Metric,-10.41,3.4575,180.0,top
R6,1K5,R_0402_1005Metric,-14.54,3.5375,0.0,top
R7,1K5,R_0402_1005Metric,-6.025,3.6675,0.0,top
R8,0R,R_0402_1005Metric,1.915,-2.9,0.0,top
R9,10K,R_0402_1005Metric,1.915,-1.75,0.0,top
R10,1K5,R_0402_1005Metric,4.95,-6.2,0.0,top
R11,10K,R_0402_1005Metric,1.6,3.075,180.0,top
R12,0R,R_0402_1005Metric,4.07,6.96,90.0,top
R13,10K,R_0402_1005Metric,5.1,6.97,90.0,top
R14,10K,R_0402_1005Metric,8.65,5.74,90.0,top
R15,75K,R_0402_1005Metric,-29.09745,-4.320617,180.0,top
R16,10K,R_0402_1005Metric,-18.06,4.74,180.0,top
R17,5K11,R_0402_1005Metric,-29.701646,2.168102,-90.0,top
R18,5K11,R_0402_1005Metric,-29.651646,-2.631898,90.0,top
R19,10K,R_0402_1005Metric,-17.74,8.72,180.0,top
R20,1K5,R_0402_1005Metric,-30.061876,-7.3,180.0,top
R21,1K5,R_0402_1005Metric,-30.071876,-9.42,180.0,top
R22,1K5,R_0402_1005Metric,-30.071876,-8.35,180.0,top
R23,10K,R_0402_1005Metric,-21.06,8.72,180.0,top
R24,R100,R_0402_1005Metric,-25.8,15.35,0.0,top
R25,1K5,R_0402_1005Metric,-25.951646,-2.781898,0.0,top
R26,10K,R_0402_1005Metric,-21.6,5.175,-90.0,top
SW1,TS-1077S-01726,KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,-13.2,-12.225,-90.0,top
SW2,TS-1077S-01726,KEY-SMD_4P-L3.1-W3.1-P2.00_TS-1077S-01726,-13.18,-19.91,90.0,top
U1,STM32F103C8T6,LQFP-48_7x7mm_P0.5mm,-17.703172,-3.881328,180.0,top
U2,EUP3458,SOT-23-6,18.490001,-3.34,90.0,top
U3,USBLC6-2SC6,SOT-23-6,-27.051646,-0.481898,0.0,top
Y1,YST310S 32.768KHz,Crystal_SMD_3215-2Pin_3.2x1.5mm,-6.51,-7.34,0.0,top
Y2,TAXM8M4RFDCET2T,OSC-SMD_4P-L3.2-W2.5-BL,-6.46,-3.94,90.0,top
